title,seenCount,inCounterfactualFinalCount,usedAsUnderfillCount,underfillRatio,dominantClassification,maxNetScore,minNetScore,seenInReports
"The Red Queen: The Obernewtyn Chronicles Volume 7",4,2,1,0.5,query_supported_but_weak,11.916,9.209,"pasted-text-4b014e5b-a987-4171-a860-54fad9d6c00f.txt | pasted-text-1dc55a0d-e9a0-4803-b866-944aac5d3040.txt | pasted-text-ccffa6f6-bbcc-4e8d-9721-faaf9ac9db73.txt | pasted-text-6993560d-b54d-4496-82f5-934e2799b12b.txt"
"Starclimber",4,3,1,0.33,query_supported_but_weak,12.819,7.456,"pasted-text-4b014e5b-a987-4171-a860-54fad9d6c00f.txt | pasted-text-1dc55a0d-e9a0-4803-b866-944aac5d3040.txt | pasted-text-ccffa6f6-bbcc-4e8d-9721-faaf9ac9db73.txt | pasted-text-6993560d-b54d-4496-82f5-934e2799b12b.txt"
"Wolfborn",4,2,1,0.5,query_supported_but_weak,13.669,7.456,"pasted-text-4b014e5b-a987-4171-a860-54fad9d6c00f.txt | pasted-text-1dc55a0d-e9a0-4803-b866-944aac5d3040.txt | pasted-text-ccffa6f6-bbcc-4e8d-9721-faaf9ac9db73.txt | pasted-text-6993560d-b54d-4496-82f5-934e2799b12b.txt"
"Your Eyes in Stars",2,1,1,1,query_supported_but_weak,18.119,13.941,"pasted-text-5607a7f4-f4ee-41ce-9bcb-fc5474b8128c.txt | pasted-text-7a44d26a-1b4e-4000-b759-0878cf780afd.txt"
"Someone Like Summer",2,2,1,0.5,defensible_secondary_match,15.241,11.284,"pasted-text-5607a7f4-f4ee-41ce-9bcb-fc5474b8128c.txt | pasted-text-7a44d26a-1b4e-4000-b759-0878cf780afd.txt"
"Pretties with Ugly Thoughts",1,1,1,1,query_supported_but_weak,15.869,15.869,"pasted-text-5607a7f4-f4ee-41ce-9bcb-fc5474b8128c.txt"
"Last Chance Books",1,1,1,1,query_supported_but_weak,15.869,15.869,"pasted-text-5607a7f4-f4ee-41ce-9bcb-fc5474b8128c.txt"
"Malcolm and Juliet",1,1,1,1,query_supported_but_weak,14.469,14.469,"pasted-text-4b014e5b-a987-4171-a860-54fad9d6c00f.txt"
"Crowned (A Conyza Bennett story, Book 3)",1,1,1,1,query_supported_but_weak,14.469,14.469,"pasted-text-4b014e5b-a987-4171-a860-54fad9d6c00f.txt"
"Chain of Thorns",4,3,0,0,defensible_secondary_match,15.253,13.559,"pasted-text-4b014e5b-a987-4171-a860-54fad9d6c00f.txt | pasted-text-1dc55a0d-e9a0-4803-b866-944aac5d3040.txt | pasted-text-ccffa6f6-bbcc-4e8d-9721-faaf9ac9db73.txt | pasted-text-6993560d-b54d-4496-82f5-934e2799b12b.txt"
"The Unbeatable Lily Hong",4,4,0,0,defensible_secondary_match,14.819,8.934,"pasted-text-4b014e5b-a987-4171-a860-54fad9d6c00f.txt | pasted-text-1dc55a0d-e9a0-4803-b866-944aac5d3040.txt | pasted-text-ccffa6f6-bbcc-4e8d-9721-faaf9ac9db73.txt | pasted-text-6993560d-b54d-4496-82f5-934e2799b12b.txt"
"Waer",4,1,0,0,query_supported_but_weak,12.544,5.206,"pasted-text-4b014e5b-a987-4171-a860-54fad9d6c00f.txt | pasted-text-1dc55a0d-e9a0-4803-b866-944aac5d3040.txt | pasted-text-ccffa6f6-bbcc-4e8d-9721-faaf9ac9db73.txt | pasted-text-6993560d-b54d-4496-82f5-934e2799b12b.txt"
"You",2,2,0,0,defensible_secondary_match,18.119,12.241,"pasted-text-5607a7f4-f4ee-41ce-9bcb-fc5474b8128c.txt | pasted-text-7a44d26a-1b4e-4000-b759-0878cf780afd.txt"
"To The Wild Sky: Text Classics",2,2,0,0,defensible_secondary_match,13.837,11.522,"pasted-text-7a44d26a-1b4e-4000-b759-0878cf780afd.txt | pasted-text-ccffa6f6-bbcc-4e8d-9721-faaf9ac9db73.txt"
"The Role of Nature in the Works of Octavia Butler",1,0,0,0,query_supported_but_weak,17.675,17.675,"pasted-text-5607a7f4-f4ee-41ce-9bcb-fc5474b8128c.txt"
"Divergent Official Illustrated Movie Companion",1,0,0,0,query_supported_but_weak,15.869,15.869,"pasted-text-5607a7f4-f4ee-41ce-9bcb-fc5474b8128c.txt"
"The Giver Illustrated Gift Edition",1,1,0,0,strong_match,16.497,16.497,"pasted-text-5607a7f4-f4ee-41ce-9bcb-fc5474b8128c.txt"
"The Loser's Guide to Life and Love",1,1,0,0,defensible_secondary_match,13.566,13.566,"pasted-text-4b014e5b-a987-4171-a860-54fad9d6c00f.txt"
"The Sky in Silver Lace: Text Classics",1,1,0,0,defensible_secondary_match,12.191,12.191,"pasted-text-1dc55a0d-e9a0-4803-b866-944aac5d3040.txt"
